meeting_id;record_number;session_number;pages_in_doc;pages_in_pdf;date_meeting;session_president;title_meeting;chapter;languages;document_codes;title;titles_in_other_languages;publication_date;volume;physical_description;conference_name;conference_session;conference_location;conference_date;corporate_subject;variant_title;filename;columns;meeting_name_id;pages;first_page;last_page;language_codes
1140490000;114049;3X;65-110;61-106;1973-10-23;Toru Haguiwara;First plenary meeting;Proceedings;mul|ara eng fre rus spa;3 XC/Resolutions;Records of the General Conference, 3rd extraordinary session, Paris, 1973: Resolutions and proceedings;;1974;;334 p.;UNESCO. General Conference;3rd extraordinary;;1973;;Actes de la Conférence générale, 3e session extraordinaire, Paris, 1973: Résolutions et comptes rendus|Actas de la Conferencia General, 3a reunión extraordinaria, París, 1973: Resoluciones y actas;1973_114049mulo.pdf;1;114049_first_plenary_meeting;61-106;61;106;ara+eng+fre+rus+spa
1140490001;114049;3X;111-153;107-149 ;1973-10-24;Toru Haguiwara;Second plenary meeting;Proceedings;mul|ara eng fre rus spa;3 XC/Resolutions;Records of the General Conference, 3rd extraordinary session, Paris, 1973: Resolutions and proceedings;;1974;;334 p.;UNESCO. General Conference;3rd extraordinary;;1973;;Actes de la Conférence générale, 3e session extraordinaire, Paris, 1973: Résolutions et comptes rendus|Actas de la Conferencia General, 3a reunión extraordinaria, París, 1973: Resoluciones y actas;1973_114049mulo.pdf;1;114049_second_plenary_meeting;107-149;107;149;ara+eng+fre+rus+spa
1140490002;114049;3X;155-192;150-187;1973-10-24;Toru Haguiwara;Third plenary meeting;Proceedings;mul|ara eng fre rus spa;3 XC/Resolutions;Records of the General Conference, 3rd extraordinary session, Paris, 1973: Resolutions and proceedings;;1974;;334 p.;UNESCO. General Conference;3rd extraordinary;;1973;;Actes de la Conférence générale, 3e session extraordinaire, Paris, 1973: Résolutions et comptes rendus|Actas de la Conferencia General, 3a reunión extraordinaria, París, 1973: Resoluciones y actas;1973_114049mulo.pdf;1;114049_third_plenary_meeting;150-187;150;187;ara+eng+fre+rus+spa
1140490003;114049;3X;193-238;188-233 ;1973-10-25;Toru Haguiwara;Fourth plenary meeting;Proceedings;mul|ara eng fre rus spa;3 XC/Resolutions;Records of the General Conference, 3rd extraordinary session, Paris, 1973: Resolutions and proceedings;;1974;;334 p.;UNESCO. General Conference;3rd extraordinary;;1973;;Actes de la Conférence générale, 3e session extraordinaire, Paris, 1973: Résolutions et comptes rendus|Actas de la Conferencia General, 3a reunión extraordinaria, París, 1973: Resoluciones y actas;1973_114049mulo.pdf;1;114049_fourth_plenary_meeting;188-233;188;233;ara+eng+fre+rus+spa
1140490004;114049;3X;239-284;234-279;1973-10-25;Toru Haguiwara;Fifth plenary meeting;Proceedings;mul|ara eng fre rus spa;3 XC/Resolutions;Records of the General Conference, 3rd extraordinary session, Paris, 1973: Resolutions and proceedings;;1974;;334 p.;UNESCO. General Conference;3rd extraordinary;;1973;;Actes de la Conférence générale, 3e session extraordinaire, Paris, 1973: Résolutions et comptes rendus|Actas de la Conferencia General, 3a reunión extraordinaria, París, 1973: Resoluciones y actas;1973_114049mulo.pdf;1;114049_fifth_plenary_meeting;234-279;234;279;ara+eng+fre+rus+spa
1140490005;114049;3X;285-304;280-299;1973-10-26;Toru Haguiwara;Sixth plenary meeting;Proceedings;mul|ara eng fre rus spa;3 XC/Resolutions;Records of the General Conference, 3rd extraordinary session, Paris, 1973: Resolutions and proceedings;;1974;;334 p.;UNESCO. General Conference;3rd extraordinary;;1973;;Actes de la Conférence générale, 3e session extraordinaire, Paris, 1973: Résolutions et comptes rendus|Actas de la Conferencia General, 3a reunión extraordinaria, París, 1973: Resoluciones y actas;1973_114049mulo.pdf;1;114049_sixth_plenary_meeting;280-299;280;299;ara+eng+fre+rus+spa
2147930000;214793;2;27-33;29-35;1947-11-06;Jacques Maritain;First plenary meeting;PLENARY MEETINGS OF THE GENERAL CONFERENCE;eng|fre spa;2 C/132 (I);Records of the General Conference of UNESCO, second session, Mexico, 1947, v. 1: Proceedings;Actes de la Conférence générale de l'UNESCO, deuxième session, Mexico, 1947, v. 1: Comptes rendus des débats|Actas de la Conferencia General, v.1: actas de los debates;1948;;637 p.;UNESCO. General Conference;2nd;Mexico City;1947;;;1947_214793eng.pdf;2;214793_first_plenary_meeting;29-35;29;35;eng+fre+spa
2147930001;214793;2;34-43;36-45;1947-11-07;"Jacques Maritain; Manuel Gual Vidal";Second plenary meeting;PLENARY MEETINGS OF THE GENERAL CONFERENCE;eng|fre spa;2 C/132 (I);Records of the General Conference of UNESCO, second session, Mexico, 1947, v. 1: Proceedings;Actes de la Conférence générale de l'UNESCO, deuxième session, Mexico, 1947, v. 1: Comptes rendus des débats|Actas de la Conferencia General, v.1: actas de los debates;1948;;637 p.;UNESCO. General Conference;2nd;Mexico City;1947;;;1947_214793eng.pdf;2;214793_second_plenary_meeting;36-45;36;45;eng+fre+spa
2147930002;214793;2;43-50;45-52;1947-11-07;Manuel Gual Vidal;Third plenary meeting;PLENARY MEETINGS OF THE GENERAL CONFERENCE;eng|fre spa;2 C/132 (I);Records of the General Conference of UNESCO, second session, Mexico, 1947, v. 1: Proceedings;Actes de la Conférence générale de l'UNESCO, deuxième session, Mexico, 1947, v. 1: Comptes rendus des débats|Actas de la Conferencia General, v.1: actas de los debates;1948;;637 p.;UNESCO. General Conference;2nd;Mexico City;1947;;;1947_214793eng.pdf;2;214793_third_plenary_meeting;45-52;45;52;eng+fre+spa
2147930003;214793;2;51-67;53-69;1947-11-08;Manuel Gual Vidal;Fourth plenary meeting;PLENARY MEETINGS OF THE GENERAL CONFERENCE;eng|fre spa;2 C/132 (I);Records of the General Conference of UNESCO, second session, Mexico, 1947, v. 1: Proceedings;Actes de la Conférence générale de l'UNESCO, deuxième session, Mexico, 1947, v. 1: Comptes rendus des débats|Actas de la Conferencia General, v.1: actas de los debates;1948;;637 p.;UNESCO. General Conference;2nd;Mexico City;1947;;;1947_214793eng.pdf;2;214793_fourth_plenary_meeting;53-69;53;69;eng+fre+spa
